,Tipo,Bairro,Quartos,Vagas,Suites,Area,Valor,Condominio,IPTU
3,Apartamento,Centro,1,0,0,15,800.0,390.0,20.0
4,Apartamento,Higienópolis,1,0,0,48,800.0,230.0,0.0
5,Apartamento,Cachambi,2,0,0,50,1300.0,301.0,17.0
9,Apartamento,Grajaú,2,1,0,70,1500.0,642.0,74.0
10,Apartamento,Lins de Vasconcelos,3,1,1,90,1500.0,455.0,14.0
11,Apartamento,Copacabana,1,0,1,40,2000.0,561.0,50.0
17,Apartamento,Freguesia (Jacarepaguá),3,0,0,54,950.0,300.0,28.0
18,Apartamento,Barra da Tijuca,2,1,1,67,1700.0,589.0,147.0
19,Apartamento,Tijuca,2,1,0,110,1900.0,700.0,138.0
21,Apartamento,Olaria,3,1,0,68,1000.0,670.0,0.0
22,Apartamento,Tijuca,2,1,0,78,2000.0,700.0,0.0
25,Apartamento,Ipanema,3,1,1,125,7000.0,2100.0,463.0
26,Apartamento,Tijuca,1,0,0,48,750.0,772.0,25.0
28,Apartamento,Barra da Tijuca,3,3,1,175,4200.0,1500.0,500.0
30,Apartamento,Botafogo,2,1,0,76,2500.0,740.0,0.0
32,Apartamento,Copacabana,3,0,0,180,5500.0,1780.0,420.0
34,Apartamento,Recreio dos Bandeirantes,3,1,1,105,2300.0,648.0,0.0
35,Apartamento,Leblon,3,1,0,110,3900.0,1500.0,120.0
38,Apartamento,Jardim Oceânico,3,3,1,200,3500.0,1780.0,496.0
39,Apartamento,Barra da Tijuca,3,1,2,70,1800.0,1095.0,140.0
41,Apartamento,Copacabana,4,1,0,244,5000.0,2500.0,4100.0
42,Apartamento,Barra da Tijuca,3,2,1,110,4500.0,2000.0,450.0
45,Apartamento,Recreio dos Bandeirantes,2,2,2,90,3000.0,1340.0,0.0
46,Apartamento,Recreio dos Bandeirantes,3,2,2,100,2600.0,380.0,0.0
47,Apartamento,Barra da Tijuca,3,1,1,72,2350.0,600.0,70.0
48,Apartamento,Humaitá,2,2,1,180,4000.0,2500.0,300.0
49,Apartamento,Recreio dos Bandeirantes,3,1,2,92,2300.0,840.0,200.0
52,Apartamento,Centro,1,0,0,27,750.0,371.0,19.0
53,Apartamento,Ipanema,1,0,0,35,2000.0,650.0,75.0
54,Apartamento,Ipanema,1,0,0,38,1400.0,530.0,77.0
55,Apartamento,Recreio dos Bandeirantes,2,1,2,83,1600.0,1160.0,157.0
58,Apartamento,Barra da Tijuca,4,3,3,153,6500.0,2300.0,434.0
61,Apartamento,Ipanema,3,1,0,87,3200.0,1305.0,217.0
62,Apartamento,Méier,3,1,0,90,1550.0,844.0,80.0
63,Apartamento,Vargem Pequena,3,1,0,53,1400.0,385.0,28.0
64,Apartamento,Botafogo,3,1,1,108,5950.0,1405.0,289.0
65,Apartamento,Maracanã,2,0,0,86,1800.0,600.0,82.0
66,Apartamento,Recreio dos Bandeirantes,2,1,1,74,1850.0,675.0,200.0
68,Apartamento,Jacarepaguá,3,1,1,74,1900.0,556.0,98.0
69,Apartamento,Ipanema,3,2,1,150,8000.0,2400.0,0.0
71,Apartamento,Ipanema,3,1,1,140,7900.0,2900.0,500.0
73,Apartamento,Jardim Botânico,2,2,0,95,4000.0,1170.0,0.0
74,Apartamento,Cachambi,2,0,0,60,1000.0,380.0,280.0
85,Apartamento,Leblon,2,1,1,80,3500.0,990.0,245.0
87,Apartamento,Barra da Tijuca,3,2,1,104,2600.0,1364.0,406.0
88,Apartamento,Vila Valqueire,2,1,0,45,800.0,280.0,14.0
89,Apartamento,Gávea,2,1,0,70,2800.0,680.0,98.0
90,Apartamento,Barra da Tijuca,2,1,1,88,2700.0,1300.0,2042.0
91,Apartamento,Centro,1,1,0,37,1100.0,540.0,900.0
92,Apartamento,Cosme Velho,3,4,0,130,5500.0,1407.0,246.0
93,Apartamento,Bonsucesso,2,1,0,77,1500.0,740.0,0.0
94,Apartamento,Barra da Tijuca,3,2,2,85,2500.0,1400.0,190.0
95,Apartamento,Todos os Santos,3,1,1,78,1450.0,630.0,73.0
96,Apartamento,Laranjeiras,2,1,0,54,2300.0,582.0,0.0
98,Apartamento,Jacarepaguá,2,1,1,69,2000.0,780.0,0.0
99,Apartamento,Ipanema,3,1,1,120,7000.0,1800.0,370.0
101,Apartamento,Barra da Tijuca,2,1,1,78,2750.0,1300.0,138.0
103,Apartamento,Itanhangá,2,1,0,60,1000.0,450.0,150.0
104,Apartamento,Recreio dos Bandeirantes,2,1,1,90,2400.0,1700.0,135.0
106,Apartamento,Humaitá,2,1,0,86,4000.0,1259.0,188.0
108,Apartamento,Barra da Tijuca,1,1,1,70,1700.0,870.0,143.0
110,Apartamento,Tijuca,2,1,0,80,1800.0,1100.0,84.0
114,Apartamento,Tijuca,3,1,0,172,2700.0,780.0,170.0
115,Apartamento,Freguesia (Jacarepaguá),4,3,2,261,2800.0,2535.0,3900.0
